TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e005467,어둠 속의 대화 입장권,1,2,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-07-05 00:00,3,66000,북촌 어둠속의대화 입장권 ,
e_e005634,식재료,1,2,,B마트 성남,경기 성남시 수정구 수정로 267,경기 성남시 수정구 신흥동 66-2,3178018,4113110100,2023-07-31 19:23,1,27660,위너스 냉장 춘천식 닭갈비;외갓집 속초식 닭강정 매콤달콤 양념;The더 건강한 후랑크;하선정 쌈무 새콤;미트포유 냉동 무연골 대패삼겹살,
e_e005905,케이크,1,4,6343701230,띠또 케이크,서울 송파구 거마로7길 9-16,서울 송파구 거여동 178-87,4169048,1171011300,2023-07-29 12:00,1,37000,,
e_e005949,커피; 과자; 물; 음료수,0,4,,파머스마켓,325-2,,,,,1,15650,,2917011700
e_e006485,아이 간식과 음료,0,3,,폴렌 베이커리외,218,,,,,4,15000,,4148010800
e_e006784,아쿠아필드 찜질스파 티켓구매,0,3,,아쿠아필드,370,,,,,1,48600,,4128111200
e_e007264,뮤지컬 티켓 구매,1,2,,세종문화회관 대극장,서울 종로구 세종대로 지하 175,,2005001,1111011900,2023-08-02 00:00,1,228000,관람권;수수료,
e_e007276,커피,0,2,,메머드커피 신정교점,신목로 31 1층 102호,,,,,1,3200,,1147010100
e_e007363,티켓,1,2,,캐리비안 베이,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,3203081,4146125027,2023-08-22 07:12,1,29000,모니모 자켓 PKG,
e_e007363,티켓,2,2,1358504288,삼성물산(주) 에버랜드리조트,경기 용인시 처인구 포곡읍 에버랜드로 199,,3203081,4146125027,2023-08-03 21:53,1,37000,캐리비안 베이 ,
e_e007411,메이드카페 입장료,1,2,2300902392,오마이,서울 마포구 와우산로23길 35-3,서울 마포구 서교동 345-26,4139460,1144012000,2023-08-29 10:10,3,20000,오마이 메이드카페 ,
e_e007520,최현우 마술쇼 관람표,1,2,8248102515,(주)인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-08-15 00:00,1,123200,2023 최현우 Answe관람권,
e_e007553,미니어쳐빌리지 이용권,1,2,1248302398,오산미니어처빌리지,경기 오산시 성호대로 141,경기 오산시 오산동 915,2198001,4137010100,2023-08-25 13:29,1,14400,입장권 ,
e_e007608,주유,1,2,1303623832,좋은하루주유소,경기 부천시 부흥로 32,경기 부천시 상동 588-3,3000066,4119010900,2023-09-04 18:21,1,50000,주유비,
e_e007675,전시회 관람권,1,2,2618107403,주식회사 미디어앤아트,서울 성동구 아차산로17길 49,서울 성동구 성수동2가 280-6,4109391,1120011500,2023-06-25 17:03,1,14928,슈퍼 얼리버드,
e_e007722,음료,1,2,2068525872,롯데쇼핑(주),서울 광진구 능동로 92,서울 광진구 자양동 227-342,3104007,1121510500,2023-08-20 10:45,1,11700,일리카페 커피음료,
e_e007747,영화표 [오펜하이머],1,2,1048145690,CGV,서울 용산구 한강대로23길 55,,4106418,1117012800,2023-08-20 13:35,1,0,관람권 ,
e_e007776,야구관람표,0,2,,인터파크 ENT 카카오페이,경인로 430,,,,,1,28000,,1153010600
e_e007795,초콜릿 등 간식,1,4,2068650913,이마트,서울 강남구 역삼로 310,서울 강남구 역삼동 755,3122008,1168010100,2023-08-26 15:24,1,28570,초코필링마시멜로;킨더 초콜릿;하루채소 오이맛고추;또띠아칩 스파이시;목우촌 BIG 주부9단비,
e_e007843,수경,0,1,,쿠팡,쿠팡 온라인구매,,,,,1,19800,,1120011300
e_e007887,음식(곱창),1,5,3498802629,주식회사 델킷,경기 부천시 신흥로 169,경기 부천시 중동 1131-2,3185020,4119010800,2023-08-04 03:44,3,79000,델킷 한우 소곱창 대창 특양 막창 염통 구이 캠핑 요리,
e_e008123,안양 워터랜드 입장권,1,2,,안양워터랜드,경기 안양시 만안구 예술공원로 153-32,경기 안양시 만안구 석수동 825-1,3183019,4117110200,2023-07-12 17:18,1,40000,[특가] 안양워터랜드 입장권 ,
e_e008652,KTX기차표,0,1,,코레일,,,,,,1,83000,,2714010200
e_e008788,커피,1,2,2018121515,스타벅스,인천 계양구 오조산로 85,,3155028,2824510600,2023-08-22 07:25,3,10700,I-G)아메리카노;I-T)아메리카노,
e_e009599,캐리비안베이 입장권,2,3,,캐리비안베이,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 전대리 310,3203081,4146125027,2023-08-09 00:00,1,71200,입장권,
e_e009606,입장권,1,3,,(주)주렁주렁,경기 하남시 하남유니온로 120,경기 하남시 신장동 612,3351193,4145010600,2023-08-27 11:13,1,43000,입장권 ,
e_e009635,과일 과자 김 단무지,1,3,1348533024,롯데쇼핑(주) 롯데마트,경기 안산시 상록구 항가울로 422,경기 안산시 상록구 성포동 590,3190075,4127110800,2023-09-08 18:04,1,54290,ONLY PRICE 김밥단무지;포카리스웨트;광천 카카오프렌즈 김;롱떡뻥 시금치;아이얌 아이사랑 배도라지,
e_e010344,이동중먹을김밥,1,3,2041733703,서울김밥,서울 동대문구 답십리로72길 24,서울 동대문구 장안동 337-20,4115106,1123010600,2023-08-24 13:30,1,24000,,
e_e010518,노브랜드 간식,1,2,2068650913,노브랜드,경기 부천시 옥길로 1,경기 부천시 옥길동 768,3185011,4119011500,2023-08-25 13:45,1,4860,에그크림쿠키;프레첼 체다치즈맛,
e_e010563,물(50ml),0,1,,코스트코 양평동,선유로 156,,,,,3,1000,,1156010500
e_e011206,커피,1,2,5902400926,카페DA,서울 강서구 공항대로61길 55,서울 강서구 등촌동 633-33,4145210,1150010200,2023-08-26 11:09,1,5000,T아이스아메리카노,
e_e011953,우당탕탕 스폰지밥 시간여행 전시회 얼리버드 티켓,1,1,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005,1168010500,2023-08-01 20:57,3,10500,스폰지밥의 우당탕탕 시간여행展 입장권,
e_e012031,에버랜드 입장권 구매,1,2,2118841856,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-08-28 00:00,1,63800,[라스트썸머]에버랜드 종일이용권 특가 ,
e_e012072,용산,0,2,,용산 어린이정원,서울특별시 용산구 한강대로38길 2-1,,,,,4,0,,1117012700
