TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000459,2305280001,3,0,,방탈출 게임,Y,1,1
e_e000459,2305280005,3,0,,방탈출 게임,Y,1,1
e_e000459,2305280007,3,0,,방탈출 게임,Y,1,1
e_e000459,2305290002,3,0,,연극 쉬어매드니스 관람,Y,1,2
e_e000459,2305290003,4,0,,,,,
e_e000459,2305270003,4,1,,,,,
e_e000459,2305280006,5,0,,,,,
e_e000459,2305280009,5,0,,,,,
e_e000459,2305270002,5,1,,,,,
e_e000459,2305270005,5,1,,,,,
e_e000459,2305270003,5,2,,,,,
e_e000471,2305290004,1,0,,평양냉면;수육;만두,N,1;2,
e_e000471,2305290008,1,0,,조개구이 소,N,1,
e_e000471,2305300001,1,0,,쌈밥정식,N,1,
e_e000471,2305300002,1,0,,빵;커피,Y,1,
e_e000471,2305290007,4,0,,,,,
e_e000471,2305290006,5,0,,,,,
e_e000471,2305290009,5,0,,,,,
e_e000471,2305290003,6,0,,,N,1,
e_e000471,2305290005,6,0,,,N,5,
e_e000478,2306020002,1,0,,베이컨까르보나라  해산물빼쉐,N,1,
e_e000478,2306020003,1,0,,소고기 된장찌개 명란구이 등등,N,4,
e_e000478,2306030002,1,0,,아이스이메리카노,Y,1,
e_e000478,2306030003,1,0,,아이스크림,Y,1,
e_e000478,2306040001,1,0,,빵,Y,1,
e_e000478,2306030004,2,0,,양말 런닝;멍게 삼겹살,N,1,
e_e000528,2305210003,1,0,,구름 스키야키,N,1,
e_e000528,2305210005,1,0,,자두에이드;초코크로넛,N,1,
e_e000528,2305210007,1,0,,볼케이노베이글;레몬소다;무화과크림치즈,N,1,
e_e000528,2305210004,2,0,,옷,N,1,
e_e000528,2305210006,2,0,,향수,N,1,
e_e000528,2305210006,4,1,,,,,
e_e000528,2305210002,7,1,,,,,
e_e000537,2305250006,1,0,,조개전골;랍스타;소주;맥주,N,1,
e_e000537,2305260001,1,0,,순댓국,N,1,
e_e000537,2305260003,1,0,,레몬에이드;아이스크림라떼,N,1,
e_e000537,2305250002,2,2,,소주 맥주 과자,N,1,
e_e000537,2305250005,3,0,,수영,N,5,1
e_e000537,2305250003,4,0,,,,,
e_e000537,2305250004,4,0,,,,,
e_e000537,2305250002,5,0,,,,,
e_e000537,2305250004,5,1,,,,,
e_e000538,2306040004,1,0,,쌀국수;팟타이;돈가스우동정식,N,1,
