COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e007250,8,1,3,1
1,e_e007264,2,2,3,3
1,e_e007276,7,1,3,1
1,e_e007308,8,2,3,3
1,e_e007330,1,1,4,1
2,e_e007330,2,2,1,1
1,e_e007333,3,2,7,1
1,e_e007363,7,2,3,1
1,e_e007411,7,2,3,2
1,e_e007423,2,2,1,1
1,e_e007476,5,1,3,1
2,e_e007514,2,2,1,1
1,e_e007514,1,1,5,1
1,e_e007520,1,2,4,1
1,e_e007553,2,2,1,1
1,e_e007587,6,2,2,1
1,e_e007608,3,2,6,1
1,e_e007654,7,2,3,1
2,e_e007654,7,2,3,1
1,e_e007655,7,1,3,1
1,e_e007664,3,1,7,1
2,e_e007664,3,2,6,1
1,e_e007675,8,1,3,1
1,e_e007722,8,1,4,1
1,e_e007734,7,1,3,3
2,e_e007734,7,1,3,3
1,e_e007747,8,1,3,1
1,e_e007751,8,1,4,3
1,e_e007776,7,2,4,3
1,e_e007795,1,2,4,1
3,e_e007795,2,1,1,1
2,e_e007795,2,2,2,1
1,e_e007813,1,1,4,1
2,e_e007813,2,2,2,1
1,e_e007840,1,1,4,1
3,e_e007840,2,2,1,1
2,e_e007840,2,2,1,1
13,e_e007843,7,2,1,1
2,e_e007843,2,2,1,1
4,e_e007843,7,1,5,1
6,e_e007843,7,2,5,1
8,e_e007843,7,2,4,1
10,e_e007843,7,2,1,1
12,e_e007843,7,2,1,1
14,e_e007843,7,2,4,1
1,e_e007843,1,1,5,1
3,e_e007843,7,1,5,1
5,e_e007843,7,1,5,1
7,e_e007843,7,2,5,1
9,e_e007843,7,2,1,1
11,e_e007843,7,2,1,1
1,e_e007846,7,2,5,1
3,e_e007846,7,2,5,3
2,e_e007846,7,2,5,3
2,e_e007854,1,1,6,1
1,e_e007854,2,2,3,1
2,e_e007865,2,2,2,1
1,e_e007865,2,2,2,1
1,e_e007873,7,1,3,1
1,e_e007887,7,2,3,1
3,e_e007887,7,2,3,1
2,e_e007887,7,2,3,1
4,e_e007887,7,2,3,1
1,e_e007888,8,2,3,1
1,e_e007918,8,1,3,1
1,e_e007984,1,1,4,1
2,e_e008013,7,2,3,1
1,e_e008013,7,2,3,1
1,e_e008034,8,1,3,1
1,e_e008086,8,1,3,1
1,e_e008106,7,2,4,3
3,e_e008106,7,2,4,3
2,e_e008106,7,2,4,3
1,e_e008123,8,1,4,1
1,e_e008306,1,1,4,1
2,e_e008306,2,1,1,1
1,e_e008460,7,2,3,1
1,e_e008623,8,1,4,1
1,e_e008679,6,2,2,3
1,e_e008743,8,1,4,3
1,e_e008754,8,2,3,1
1,e_e008788,7,2,4,1
1,e_e008879,8,1,4,1
1,e_e009153,8,2,3,1
1,e_e009313,5,1,2,1
2,e_e009313,5,1,2,1
2,e_e009599,7,2,3,3
1,e_e009599,7,2,3,1
1,e_e009606,1,1,4,1
2,e_e009606,2,2,1,1
2,e_e009635,2,2,1,1
1,e_e009635,1,1,5,1
1,e_e009657,7,2,3,1
1,e_e009658,8,2,4,1
1,e_e010112,7,2,3,1
1,e_e010116,7,1,3,1
1,e_e010209,8,1,3,1
1,e_e010224,8,1,3,1
1,e_e010234,3,1,7,1
