TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000742,48,남,40,6,1,2,2,2,,5,8,2,3,46,46150,26,26710,42,42150,2,5,1,4,2,3,2,5,경상남도,경기,2인 가족 여행,2023-06-03~2023-06-05,3,1,7,1
e002936,29,여,30,6,1,1,2,3,,4,6,2,2,11,11170,45,45790,48,48310,4,2,6,5,3,4,6,3,광주광역시,서울,나홀로 여행,2023-06-23~2023-06-24,8,4,1,0
e003367,30,남,20,6,1,1,4,3,,5,10,2,1,50,50130,26,26350,46,46130,5,2,2,6,6,3,5,6,대전광역시,서울,3인 이상 여행(가족 외),2023-06-24~2023-06-25,3,1,7,2
e008116,11,여,30,7,1,1,4,2,,5,7,1,1,42,42130,41,41800,41,41290,2,2,6,6,6,6,6,5,서울특별시,경기,나홀로 여행,2023-08-20~2023-08-20,1,2,,0
e003320,41,남,20,6,1,1,3,13,,3,6,2,2,11,11740,26,26350,11,11110,3,4,4,4,6,6,3,6,경기도,서울,2인 여행(가족 외),2023-06-17~2023-06-17,7,1,5,1
e007655,11,남,20,4,1,1,1,12,,1,,2,1,26,26500,11,11680,11,11710,4,6,7,1,3,7,2,7,서울특별시,경기,2인 여행(가족 외),2023-08-18~2023-08-18,3,2,1,1
e003884,11,여,20,4,1,1,5,12,,4,6,2,1,41,41360,42,42150,26,26500,2,3,3,3,2,5,5,6,서울특별시,경기,2인 여행(가족 외),2023-06-25~2023-06-25,3,7,1,1
e001020,30,남,30,6,1,1,2,2,,5,7,2,1,50,50110,48,48310,48,48250,7,1,1,6,1,1,7,7,대전광역시,서울,나홀로 여행,2023-05-26~2023-05-28,6,5,1,0
e003358,11,여,20,6,2,1,1,12,,2,,2,2,11,11140,50,50130,27,27110,1,1,1,2,1,2,1,7,서울특별시,경기,2인 여행(가족 외),2023-06-17~2023-06-18,2,1,3,1
e002078,41,남,30,6,1,2,2,2,,4,7,3,1,48,48840,50,50130,43,43740,1,1,1,1,1,1,1,1,경기도,경기,2인 가족 여행,2023-06-03~2023-06-04,6,2,1,1
e010573,11,여,30,3,4,1,1,13,,2,,3,1,42,42210,47,47930,41,41460,1,7,1,4,1,7,7,7,서울특별시,경기,나홀로 여행,2023-08-27~2023-08-27,1,,,0
e003306,11,여,20,6,1,1,3,12,,1,8,2,1,42,42150,26,26500,41,41460,2,1,2,6,1,3,7,7,서울특별시,경기,2인 여행(가족 외),2023-06-20~2023-06-21,1,3,2,1
e001038,41,남,20,4,1,1,2,3,,4,6,3,3,42,42150,41,41820,41,41450,2,5,5,4,4,5,6,4,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,3,1,7,1
e003713,28,여,30,7,5,1,1,2,,4,,3,6,42,42150,50,50130,26,26260,6,4,2,6,6,4,1,3,인천광역시,경기,나홀로 여행,2023-06-25~2023-06-25,5,,,0
e004023,11,여,60,6,1,2,4,13,,4,8,3,8,42,42760,41,41820,41,41830,1,1,4,2,1,4,3,6,서울특별시,경기,3대 동반 여행(친척 포함),2023-07-07~2023-07-08,3,1,2,9
e007411,44,남,20,4,1,1,3,12,,1,6,3,6,11,11440,44,44130,45,45140,7,7,7,4,5,7,2,1,충청남도,서울,2인 여행(가족 외),2023-08-28~2023-08-28,2,1,7,1
e007472,47,여,20,6,1,1,4,2,,5,10,3,6,11,11440,11,11170,11,11140,7,7,1,5,1,1,7,1,경상북도,서울,나홀로 여행,2023-09-09~2023-09-09,1,7,5,0
e001379,41,남,40,6,1,2,3,2,,7,7,2,1,41,41480,11,11110,41,41130,4,1,4,3,2,5,2,6,경기도,경기,3인 이상 여행(가족 외),2023-05-29~2023-05-30,3,1,2,8
e007776,41,남,30,7,1,1,1,2,,4,,3,5,48,48250,11,11140,28,28110,2,3,1,4,2,2,4,2,경기도,서울,2인 여행(가족 외),2023-08-19~2023-08-19,7,8,1,1
e001960,28,남,30,6,1,1,3,8,,5,12,3,1,41,41570,41,41190,50,50110,2,6,6,6,2,6,6,6,인천광역시,경기,나홀로 여행,2023-06-03~2023-06-03,1,7,6,0
e011939,41,남,20,4,1,1,4,12,,2,12,1,5,11,11140,50,50110,26,26350,7,1,1,4,4,4,5,3,경기도,서울,나홀로 여행,2023-08-28~2023-08-28,4,2,7,0
e003171,41,남,30,6,1,2,4,2,,2,5,3,5,31,31200,43,43110,45,45110,2,3,4,6,4,5,2,4,경기도,서울,자녀 동반 여행,2023-06-17~2023-06-17,3,8,1,3
e007747,41,여,20,5,1,1,5,4,,4,6,3,3,41,41480,42,42150,50,50130,1,1,3,2,4,4,5,6,경기도,서울,2인 여행(가족 외),2023-08-20~2023-08-20,3,1,,1
e002190,41,여,40,6,1,2,5,3,,4,11,2,1,42,42210,41,41820,48,48870,1,2,1,4,6,7,6,7,경기도,경기,자녀 동반 여행,2023-06-02~2023-06-03,3,1,2,1
e011750,41,남,30,6,1,1,3,4,,4,7,3,4,50,50110,42,42820,26,26350,7,2,6,2,2,6,4,5,경기도,서울,나홀로 여행,2023-08-31~2023-08-31,4,1,2,0
e003957,36,여,40,7,1,1,3,2,,6,12,3,2,50,50110,42,42150,30,30200,3,3,4,2,3,6,2,6,세종특별자치시,서울,3인 이상 여행(가족 외),2023-06-28~2023-06-28,5,3,7,2
e004118,41,남,20,5,1,1,4,4,,4,10,2,1,42,42150,50,50110,28,28710,3,2,4,4,3,5,2,7,경기도,인천,2인 여행(가족 외),2023-07-08~2023-07-09,2,3,7,1
e009658,41,남,30,6,1,1,1,2,,5,,3,4,42,42210,28,28110,50,50130,1,1,1,1,1,7,1,1,경기도,인천,2인 여행(가족 외),2023-08-26~2023-08-26,2,1,6,1
